Date,City,Predict,Actual,Difference,Accuracy,Error
2022-01-11,CJU,500,421,79,81,19
2022-01-11,GMP,30,25,5,80,20
2022-01-11,JFK,252,159,93,42,58
2022-01-12,CJU,515,269,246,9,91
2022-01-12,GMP,27,17,10,41,59
2022-01-12,JFK,220,190,30,84,16
2022-01-13,CJU,440,269,171,36,64
2022-01-13,GMP,33,21,12,43,57
2022-01-13,JFK,259,190,69,64,36
2022-01-14,CJU,470,310,160,48,52
2022-01-14,GMP,54,49,5,90,10
2022-01-14,JFK,441,269,172,36,64
2022-01-15,CJU,30,28,2,93,7
2022-01-15,GMP,220,190,30,84,16
2022-01-15,JFK,395,269,126,53,47
