TEST_DATE,Category,Test Case,Result,Test Count,Pass,Fail,HW Ver,SW Ver,Description
2024-01-31,System,KernelVersion,Fail,1,0,1,A0,1.0,
2024-01-31,System,UfsBasic,Fail,1,0,1,A0,1.0,
2024-01-31,MCU,ThermalSensor,Fail,1,0,1,A0,1.0,
2024-01-31,MCU,ReadRegion,Pass,1,1,0,A0,1.0,
2024-01-31,MCU,ReadVersion,Pass,1,1,0,A0,1.0,
2024-01-31,MCU,FANStatus,Pass,1,1,0,A0,1.0,
2024-01-31,MCU,ADC,Pass,1,1,0,A0,1.0,
2024-01-31,MCU,MainPower,Pass,1,1,0,A0,1.0,
2024-01-31,MCU,SubPMIC,Pass,1,1,0,A0,1.0,
2024-01-31,MCU,MicLevel,Pass,1,1,0,A0,1.0,
2024-01-31,MCU,AudioDetectFailure,Pass,1,1,0,A0,1.0,
2024-01-31,USB,UsbDevice,Pass,1,1,0,A0,1.0,
2024-01-31,USB,UsbComm,Pass,1,1,0,A0,1.0,
2024-01-31,USB,AppleCP,Pass,1,1,0,A0,1.0,
2024-01-31,Safety,I2C,Pass,1,1,0,A0,1.0,
2024-01-31,Safety,Uart,Pass,1,1,0,A0,1.0,
2024-01-31,Camera,Deserializer,Pass,1,1,0,A0,1.0,
2024-01-31,Ethernet,PingFromEth0ToExtPort,Pass,1,1,0,A0,1.0,
2024-01-31,Ethernet,PingFromEth1ToExtPort,Pass,1,1,0,A0,1.0,
2024-01-31,Ethernet,EthcheckSpi,Pass,1,1,0,A0,1.0,
2024-01-31,Displey,Serializer,Fail,1,0,1,A0,1.0,
2024-01-31,Audio,AudioSoc,Fail,1,0,1,A0,1.0,
2024-01-31,Audio,HSI2S3(FM/AM),Pass,1,1,0,A0,1.0,
2024-01-31,Audio,HSI2S4(DAB),Pass,1,1,0,A0,1.0,
2024-01-31,Audio,TDMMiC,Pass,1,1,0,A0,1.0,
2024-01-31,GNSS,SW Information Reading,Pass,1,1,0,A0,1.0,
2024-01-31,GNSS,GNSS Read,Pass,1,1,0,A0,1.0,
2024-01-31,GNSS,SENSOR Read,Pass,1,1,0,A0,1.0,
2024-01-31,BT,ON,Pass,1,1,0,A0,1.0,
2024-01-31,BT,OFF,Pass,1,1,0,A0,1.0,
2024-01-31,WIFI,WIFI Connect AP,Pass,1,1,0,A0,1.0,
2024-01-31,WIFI,WIFI Disconnect,Pass,1,1,0,A0,1.0,
2024-02-29,System,KernelVersion,Pass,1,1,0,A1,1.0,
2024-02-29,System,UfsBasic,Pass,1,1,0,A1,1.0,
2024-02-29,MCU,ThermalSensor,Fail,1,0,1,A1,1.0,
2024-02-29,MCU,ReadRegion,Fail,1,0,1,A1,1.0,
2024-02-29,MCU,ReadVersion,Fail,1,0,1,A1,1.0,
2024-02-29,MCU,FANStatus,Fail,1,0,1,A1,1.0,
2024-02-29,MCU,ADC,Pass,1,1,0,A1,1.0,
2024-02-29,MCU,MainPower,Fail,1,0,1,A1,1.0,
2024-02-29,MCU,SubPMIC,Pass,1,1,0,A1,1.0,
2024-02-29,MCU,MicLevel,Pass,1,1,0,A1,1.0,
2024-02-29,MCU,AudioDetectFailure,Pass,1,1,0,A1,1.0,
2024-02-29,USB,UsbDevice,Pass,1,1,0,A1,1.0,
2024-02-29,USB,UsbComm,Pass,1,1,0,A1,1.0,
2024-02-29,USB,AppleCP,Pass,1,1,0,A1,1.0,
2024-02-29,Safety,I2C,Pass,1,1,0,A1,1.0,
2024-02-29,Safety,Uart,Pass,1,1,0,A1,1.0,
2024-02-29,Camera,Deserializer,Pass,1,1,0,A1,1.0,
2024-02-29,Ethernet,PingFromEth0ToExtPort,Pass,1,1,0,A1,1.0,
2024-02-29,Ethernet,PingFromEth1ToExtPort,Pass,1,1,0,A1,1.0,
2024-02-29,Ethernet,EthcheckSpi,Pass,1,1,0,A1,1.0,
2024-02-29,Displey,Serializer,Pass,1,1,0,A1,1.0,
2024-02-29,Audio,AudioSoc,Pass,1,1,0,A1,1.0,
2024-02-29,Audio,HSI2S3(FM/AM),Pass,1,1,0,A1,1.0,
2024-02-29,Audio,HSI2S4(DAB),Pass,1,1,0,A1,1.0,
2024-02-29,Audio,TDMMiC,Pass,1,1,0,A1,1.0,
2024-02-29,GNSS,SW Information Reading,Fail,1,0,1,A1,1.0,
2024-02-29,GNSS,GNSS Read,Fail,1,0,1,A1,1.0,
2024-02-29,GNSS,SENSOR Read,Pass,1,1,0,A1,1.0,
2024-02-29,BT,ON,Pass,1,1,0,A1,1.0,
2024-02-29,BT,OFF,Pass,1,1,0,A1,1.0,
2024-02-29,WIFI,WIFI Connect AP,Pass,1,1,0,A1,1.0,
2024-02-29,WIFI,WIFI Disconnect,Pass,1,1,0,A1,1.0,
2024-03-31,System,KernelVersion,Pass,1,1,0,B1,1.0,
2024-03-31,System,UfsBasic,Fail,1,0,1,B1,1.0,
2024-03-31,MCU,ThermalSensor,Pass,1,1,0,B1,1.0,
2024-03-31,MCU,ReadRegion,Pass,1,1,0,B1,1.0,
2024-03-31,MCU,ReadVersion,Pass,1,1,0,B1,1.0,
2024-03-31,MCU,FANStatus,Pass,1,1,0,B1,1.0,
2024-03-31,MCU,ADC,Pass,1,1,0,B1,1.0,
2024-03-31,MCU,MainPower,Pass,1,1,0,B1,1.0,
2024-03-31,MCU,SubPMIC,Pass,1,1,0,B1,1.0,
2024-03-31,MCU,MicLevel,Pass,1,1,0,B1,1.0,
2024-03-31,MCU,AudioDetectFailure,Pass,1,1,0,B1,1.0,
2024-03-31,USB,UsbDevice,Pass,1,1,0,B1,1.0,
2024-03-31,USB,UsbComm,Pass,1,1,0,B1,1.0,
2024-03-31,USB,AppleCP,Pass,1,1,0,B1,1.0,
2024-03-31,Safety,I2C,Pass,1,1,0,B1,1.0,
2024-03-31,Safety,Uart,Pass,1,1,0,B1,1.0,
2024-03-31,Camera,Deserializer,Pass,1,1,0,B1,1.0,
2024-03-31,Ethernet,PingFromEth0ToExtPort,Pass,1,1,0,B1,1.0,
2024-03-31,Ethernet,PingFromEth1ToExtPort,Fail,1,0,1,B1,1.0,
2024-03-31,Ethernet,EthcheckSpi,Fail,1,0,1,B1,1.0,
2024-03-31,Displey,Serializer,Pass,1,1,0,B1,1.0,
2024-03-31,Audio,AudioSoc,Pass,1,1,0,B1,1.0,
2024-03-31,Audio,HSI2S3(FM/AM),Pass,1,1,0,B1,1.0,
2024-03-31,Audio,HSI2S4(DAB),Pass,1,1,0,B1,1.0,
2024-03-31,Audio,TDMMiC,Pass,1,1,0,B1,1.0,
2024-03-31,GNSS,SW Information Reading,Pass,1,1,0,B1,1.0,
2024-03-31,GNSS,GNSS Read,Pass,1,1,0,B1,1.0,
2024-03-31,GNSS,SENSOR Read,Pass,1,1,0,B1,1.0,
2024-03-31,BT,ON,Pass,1,1,0,B1,1.0,
2024-03-31,BT,OFF,Pass,1,1,0,B1,1.0,
2024-03-31,WIFI,WIFI Connect AP,Pass,1,1,0,B1,1.0,
2024-03-31,WIFI,WIFI Disconnect,Pass,1,1,0,B1,1.0,
2024-04-30,System,KernelVersion,Fail,1,0,1,B1,1.0,
2024-04-30,System,UfsBasic,Pass,1,1,0,B1,1.0,
2024-04-30,MCU,ThermalSensor,Pass,1,1,0,B1,1.0,
2024-04-30,MCU,ReadRegion,Pass,1,1,0,B1,1.0,
2024-04-30,MCU,ReadVersion,Fail,1,0,1,B1,1.0,
2024-04-30,MCU,FANStatus,Fail,1,0,1,B1,1.0,
2024-04-30,MCU,ADC,Pass,1,1,0,B1,1.0,
2024-04-30,MCU,MainPower,Pass,1,1,0,B1,1.0,
2024-04-30,MCU,SubPMIC,Fail,1,0,1,B1,1.0,
2024-04-30,MCU,MicLevel,Pass,1,1,0,B1,1.0,
2024-04-30,MCU,AudioDetectFailure,Fail,1,0,1,B1,1.0,
2024-04-30,USB,UsbDevice,Pass,1,1,0,B1,1.0,
2024-04-30,USB,UsbComm,Pass,1,1,0,B1,1.0,
2024-04-30,USB,AppleCP,Pass,1,1,0,B1,1.0,
2024-04-30,Safety,I2C,Fail,1,0,1,B1,1.0,
2024-04-30,Safety,Uart,Pass,1,1,0,B1,1.0,
2024-04-30,Camera,Deserializer,Pass,1,1,0,B1,1.0,
2024-04-30,Ethernet,PingFromEth0ToExtPort,Pass,1,1,0,B1,1.0,
2024-04-30,Ethernet,PingFromEth1ToExtPort,Pass,1,1,0,B1,1.0,
2024-04-30,Ethernet,EthcheckSpi,Fail,1,0,1,B1,1.0,
2024-04-30,Displey,Serializer,Pass,1,1,0,B1,1.0,
2024-04-30,Audio,AudioSoc,Pass,1,1,0,B1,1.0,
2024-04-30,Audio,HSI2S3(FM/AM),Pass,1,1,0,B1,1.0,
2024-04-30,Audio,HSI2S4(DAB),Fail,1,0,1,B1,1.0,
2024-04-30,Audio,TDMMiC,Pass,1,1,0,B1,1.0,
2024-04-30,GNSS,SW Information Reading,Pass,1,1,0,B1,1.0,
2024-04-30,GNSS,GNSS Read,Pass,1,1,0,B1,1.0,
2024-04-30,GNSS,SENSOR Read,Pass,1,1,0,B1,1.0,
2024-04-30,BT,ON,Pass,1,1,0,B1,1.0,
2024-04-30,BT,OFF,Pass,1,1,0,B1,1.0,
2024-04-30,WIFI,WIFI Connect AP,Fail,1,0,1,B1,1.0,
2024-04-30,WIFI,WIFI Disconnect,Pass,1,1,0,B1,1.0,
2024-05-31,System,KernelVersion,Pass,1,1,0,B1,1.1,
2024-05-31,System,UfsBasic,Pass,1,1,0,B1,1.1,
2024-05-31,MCU,ThermalSensor,Pass,1,1,0,B1,1.1,
2024-05-31,MCU,ReadRegion,Pass,1,1,0,B1,1.1,
2024-05-31,MCU,ReadVersion,Pass,1,1,0,B1,1.1,
2024-05-31,MCU,FANStatus,Fail,1,0,1,B1,1.1,
2024-05-31,MCU,ADC,Fail,1,0,1,B1,1.1,
2024-05-31,MCU,MainPower,Pass,1,1,0,B1,1.1,
2024-05-31,MCU,SubPMIC,Fail,1,0,1,B1,1.1,
2024-05-31,MCU,MicLevel,Pass,1,1,0,B1,1.1,
2024-05-31,MCU,AudioDetectFailure,Pass,1,1,0,B1,1.1,
2024-05-31,USB,UsbDevice,Pass,1,1,0,B1,1.1,
2024-05-31,USB,UsbComm,Fail,1,0,1,B1,1.1,
2024-05-31,USB,AppleCP,Pass,1,1,0,B1,1.1,
2024-05-31,Safety,I2C,Pass,1,1,0,B1,1.1,
2024-05-31,Safety,Uart,Fail,1,0,1,B1,1.1,
2024-05-31,Camera,Deserializer,Pass,1,1,0,B1,1.1,
2024-05-31,Ethernet,PingFromEth0ToExtPort,Fail,1,0,1,B1,1.1,
2024-05-31,Ethernet,PingFromEth1ToExtPort,Pass,1,1,0,B1,1.1,
2024-05-31,Ethernet,EthcheckSpi,Pass,1,1,0,B1,1.1,
2024-05-31,Displey,Serializer,Pass,1,1,0,B1,1.1,
2024-05-31,Audio,AudioSoc,Fail,1,0,1,B1,1.1,
2024-05-31,Audio,HSI2S3(FM/AM),Pass,1,1,0,B1,1.1,
2024-05-31,Audio,HSI2S4(DAB),Fail,1,0,1,B1,1.1,
2024-05-31,Audio,TDMMiC,Pass,1,1,0,B1,1.1,
2024-05-31,GNSS,SW Information Reading,Pass,1,1,0,B1,1.1,
2024-05-31,GNSS,GNSS Read,Pass,1,1,0,B1,1.1,
2024-05-31,GNSS,SENSOR Read,Pass,1,1,0,B1,1.1,
2024-05-31,BT,ON,Pass,1,1,0,B1,1.1,
2024-05-31,BT,OFF,Pass,1,1,0,B1,1.1,
2024-05-31,WIFI,WIFI Connect AP,Fail,1,0,1,B1,1.1,
2024-05-31,WIFI,WIFI Disconnect,Pass,1,1,0,B1,1.1,
2024-06-30,System,KernelVersion,Pass,1,1,0,B1,1.2,
2024-06-30,System,UfsBasic,Pass,1,1,0,B1,1.2,
2024-06-30,MCU,ThermalSensor,Pass,1,1,0,B1,1.2,
2024-06-30,MCU,ReadRegion,Pass,1,1,0,B1,1.2,
2024-06-30,MCU,ReadVersion,Pass,1,1,0,B1,1.2,
2024-06-30,MCU,FANStatus,Pass,1,1,0,B1,1.2,
2024-06-30,MCU,ADC,Pass,1,1,0,B1,1.2,
2024-06-30,MCU,MainPower,Pass,1,1,0,B1,1.2,
2024-06-30,MCU,SubPMIC,Pass,1,1,0,B1,1.2,
2024-06-30,MCU,MicLevel,Pass,1,1,0,B1,1.2,
2024-06-30,MCU,AudioDetectFailure,Pass,1,1,0,B1,1.2,
2024-06-30,USB,UsbDevice,Pass,1,1,0,B1,1.2,
2024-06-30,USB,UsbComm,Pass,1,1,0,B1,1.2,
2024-06-30,USB,AppleCP,Pass,1,1,0,B1,1.2,
2024-06-30,Safety,I2C,Pass,1,1,0,B1,1.2,
2024-06-30,Safety,Uart,Pass,1,1,0,B1,1.2,
2024-06-30,Camera,Deserializer,Pass,1,1,0,B1,1.2,
2024-06-30,Ethernet,PingFromEth0ToExtPort,Pass,1,1,0,B1,1.2,
2024-06-30,Ethernet,PingFromEth1ToExtPort,Fail,1,0,1,B1,1.2,
2024-06-30,Ethernet,EthcheckSpi,Pass,1,1,0,B1,1.2,
2024-06-30,Displey,Serializer,Pass,1,1,0,B1,1.2,
2024-06-30,Audio,AudioSoc,Pass,1,1,0,B1,1.2,
2024-06-30,Audio,HSI2S3(FM/AM),Pass,1,1,0,B1,1.2,
2024-06-30,Audio,HSI2S4(DAB),Pass,1,1,0,B1,1.2,
2024-06-30,Audio,TDMMiC,Fail,1,0,1,B1,1.2,
2024-06-30,GNSS,SW Information Reading,Fail,1,0,1,B1,1.2,
2024-06-30,GNSS,GNSS Read,Fail,1,0,1,B1,1.2,
2024-06-30,GNSS,SENSOR Read,Pass,1,1,0,B1,1.2,
2024-06-30,BT,ON,Pass,1,1,0,B1,1.2,
2024-06-30,BT,OFF,Fail,1,0,1,B1,1.2,
2024-06-30,WIFI,WIFI Connect AP,Pass,1,1,0,B1,1.2,
2024-06-30,WIFI,WIFI Disconnect,Pass,1,1,0,B1,1.2,
2024-07-31,System,KernelVersion,Pass,1,1,0,B2,2.1,
2024-07-31,System,UfsBasic,Pass,1,1,0,B2,2.1,
2024-07-31,MCU,ThermalSensor,Pass,1,1,0,B2,2.1,
2024-07-31,MCU,ReadRegion,Pass,1,1,0,B2,2.1,
2024-07-31,MCU,ReadVersion,Fail,1,0,1,B2,2.1,
2024-07-31,MCU,FANStatus,Fail,1,0,1,B2,2.1,
2024-07-31,MCU,ADC,Pass,1,1,0,B2,2.1,
2024-07-31,MCU,MainPower,Pass,1,1,0,B2,2.1,
2024-07-31,MCU,SubPMIC,Pass,1,1,0,B2,2.1,
2024-07-31,MCU,MicLevel,Pass,1,1,0,B2,2.1,
2024-07-31,MCU,AudioDetectFailure,Pass,1,1,0,B2,2.1,
2024-07-31,USB,UsbDevice,Pass,1,1,0,B2,2.1,
2024-07-31,USB,UsbComm,Pass,1,1,0,B2,2.1,
2024-07-31,USB,AppleCP,Pass,1,1,0,B2,2.1,
2024-07-31,Safety,I2C,Pass,1,1,0,B2,2.1,
2024-07-31,Safety,Uart,Fail,1,0,1,B2,2.1,
2024-07-31,Camera,Deserializer,Fail,1,0,1,B2,2.1,
2024-07-31,Ethernet,PingFromEth0ToExtPort,Pass,1,1,0,B2,2.1,
2024-07-31,Ethernet,PingFromEth1ToExtPort,Fail,1,0,1,B2,2.1,
2024-07-31,Ethernet,EthcheckSpi,Pass,1,1,0,B2,2.1,
2024-07-31,Displey,Serializer,Pass,1,1,0,B2,2.1,
2024-07-31,Audio,AudioSoc,Pass,1,1,0,B2,2.1,
2024-07-31,Audio,HSI2S3(FM/AM),Pass,1,1,0,B2,2.1,
2024-07-31,Audio,HSI2S4(DAB),Pass,1,1,0,B2,2.1,
2024-07-31,Audio,TDMMiC,Pass,1,1,0,B2,2.1,
2024-07-31,GNSS,SW Information Reading,Pass,1,1,0,B2,2.1,
2024-07-31,GNSS,GNSS Read,Pass,1,1,0,B2,2.1,
2024-07-31,GNSS,SENSOR Read,Fail,1,0,1,B2,2.1,
2024-07-31,BT,ON,Pass,1,1,0,B2,2.1,
2024-07-31,BT,OFF,Pass,1,1,0,B2,2.1,
2024-07-31,WIFI,WIFI Connect AP,Fail,1,0,1,B2,2.1,
2024-07-31,WIFI,WIFI Disconnect,Pass,1,1,0,B2,2.1,
2024-08-31,System,KernelVersion,Pass,1,1,0,B2,2.2,
2024-08-31,System,UfsBasic,Pass,1,1,0,B2,2.2,
2024-08-31,MCU,ThermalSensor,Pass,1,1,0,B2,2.2,
2024-08-31,MCU,ReadRegion,Pass,1,1,0,B2,2.2,
2024-08-31,MCU,ReadVersion,Fail,1,0,1,B2,2.2,
2024-08-31,MCU,FANStatus,Fail,1,0,1,B2,2.2,
2024-08-31,MCU,ADC,Pass,1,1,0,B2,2.2,
2024-08-31,MCU,MainPower,Pass,1,1,0,B2,2.2,
2024-08-31,MCU,SubPMIC,Pass,1,1,0,B2,2.2,
2024-08-31,MCU,MicLevel,Pass,1,1,0,B2,2.2,
2024-08-31,MCU,AudioDetectFailure,Pass,1,1,0,B2,2.2,
2024-08-31,USB,UsbDevice,Pass,1,1,0,B2,2.2,
2024-08-31,USB,UsbComm,Pass,1,1,0,B2,2.2,
2024-08-31,USB,AppleCP,Pass,1,1,0,B2,2.2,
2024-08-31,Safety,I2C,Fail,1,0,1,B2,2.2,
2024-08-31,Safety,Uart,Fail,1,0,1,B2,2.2,
2024-08-31,Camera,Deserializer,Fail,1,0,1,B2,2.2,
2024-08-31,Ethernet,PingFromEth0ToExtPort,Fail,1,0,1,B2,2.2,
2024-08-31,Ethernet,PingFromEth1ToExtPort,Pass,1,1,0,B2,2.2,
2024-08-31,Ethernet,EthcheckSpi,Fail,1,0,1,B2,2.2,
2024-08-31,Displey,Serializer,Pass,1,1,0,B2,2.2,
2024-08-31,Audio,AudioSoc,Pass,1,1,0,B2,2.2,
2024-08-31,Audio,HSI2S3(FM/AM),Pass,1,1,0,B2,2.2,
2024-08-31,Audio,HSI2S4(DAB),Fail,1,0,1,B2,2.2,
2024-08-31,Audio,TDMMiC,Pass,1,1,0,B2,2.2,
2024-08-31,GNSS,SW Information Reading,Pass,1,1,0,B2,2.2,
2024-08-31,GNSS,GNSS Read,Pass,1,1,0,B2,2.2,
2024-08-31,GNSS,SENSOR Read,Pass,1,1,0,B2,2.2,
2024-08-31,BT,ON,Pass,1,1,0,B2,2.2,
2024-08-31,BT,OFF,Pass,1,1,0,B2,2.2,
2024-08-31,WIFI,WIFI Connect AP,Pass,1,1,0,B2,2.2,
2024-08-31,WIFI,WIFI Disconnect,Pass,1,1,0,B2,2.2,
2024-09-30,System,KernelVersion,Fail,1,0,1,B2,2.2,
2024-09-30,System,UfsBasic,Pass,1,1,0,B2,2.2,
2024-09-30,MCU,ThermalSensor,Pass,1,1,0,B2,2.2,
